hgnc_id	GEP	GCN	MUT	CNS
HGNC:24381	-1	3	3	-1
HGNC:24382	-1	3	3	-1
HGNC:24436	-1	0	3	-1
HGNC:24437	2	3	3	2
HGNC:24464	2	3	3	2
HGNC:24474	-1	3	3	-1
HGNC:24475	-1	0	3	-1
HGNC:24622	2	3	3	2
HGNC:24649	2	3	3	2
HGNC:24650	1	3	3	1
HGNC:24671	2	3	3	2
HGNC:24723	-1	3	3	-1
HGNC:24791	-1	0	3	-1
HGNC:24860	-1	3	3	-1
HGNC:24861	2	0	3	2
HGNC:24862	3	3	3	3
HGNC:24864	-1	0	3	-1
HGNC:24865	1	3	3	1
HGNC:24887	-1	3	3	-1
HGNC:249	-1	3	3	-1
HGNC:24948	1	3	3	1
HGNC:250	-1	3	3	-1
HGNC:2501	1	0	3	1
HGNC:251	-1	0	3	-1
HGNC:2519	2	3	3	2
HGNC:25193	1	3	3	1
HGNC:252	-1	3	3	-1
HGNC:2520	2	3	3	2
HGNC:25223	2	3	3	2
HGNC:253	2	3	3	2
HGNC:25313	-1	0	3	-1
HGNC:2548	2	3	3	2
HGNC:255	-1	3	3	-1
HGNC:25575	-1	3	3	-1
HGNC:256	-1	3	3	-1
HGNC:25625	-1	3	3	-1
HGNC:25686	2	3	3	2
HGNC:257	2	3	3	2
HGNC:25712	1	3	3	1
HGNC:2579	3	3	3	3
HGNC:25846	2	3	3	2
HGNC:2590	-1	0	3	-1
HGNC:2591	-1	3	3	-1
HGNC:2592	-1	3	3	-1
HGNC:2593	-1	3	3	-1
HGNC:2594	-1	3	3	-1
HGNC:2595	1	3	3	1
HGNC:2596	-1	3	3	-1
HGNC:2597	-1	3	3	-1
HGNC:25985	1	3	3	1
HGNC:2600	-1	3	3	-1
HGNC:2602	-1	3	3	-1
HGNC:2603	-1	0	3	-1
HGNC:2605	-1	0	3	-1
HGNC:26057	-1	3	3	-1
HGNC:2606	-1	3	3	-1
HGNC:26063	1	3	3	1
HGNC:2608	-1	3	3	-1
HGNC:2610	-1	0	3	-1
HGNC:2611	-1	3	3	-1
HGNC:2615	-1	3	3	-1
HGNC:26160	1	3	2	1
HGNC:2620	-1	3	3	-1
HGNC:2621	-1	3	3	-1
HGNC:26210	2	3	3	2
HGNC:2622	-1	3	3	-1
HGNC:2623	-1	3	3	-1
HGNC:2625	-1	3	3	-1
HGNC:26309	2	3	3	2
HGNC:2631	-1	3	3	-1
HGNC:2632	-1	3	3	-1
HGNC:2634	-1	3	3	-1
